image,x,y,z,qx,qy,qz,qw
images/frame_000000.png,7.94131543517708,2.6401631356546944,0.0,0.0,0.0,0.62264728086908,0.7825026285108191
images/frame_000001.png,7.94131543517708,2.6401631356546944,0.0,0.0,0.0,0.62264728086908,0.7825026285108191
images/frame_000002.png,7.94045864797981,2.6364094783701812,0.0,0.0,0.0,0.6240700449133669,0.7813684016146469
images/frame_000003.png,7.936660084595461,2.6191917246105687,0.0,0.0,0.0,0.6286785933784124,0.7776652404651637
images/frame_000004.png,7.932218728286287,2.597375707104068,0.0,0.0,0.0,0.6372220497234959,0.770680257529792
images/frame_000005.png,7.929163231180906,2.5802072221368495,0.0,0.0,0.0,0.6481993464237472,0.7614706870890218
images/frame_000006.png,7.927057234958294,2.5655029756554333,0.0,0.0,0.0,0.6628348153629466,0.7487656559583703
images/frame_000007.png,7.925722451834578,2.5518783286494853,0.0,0.0,0.0,0.6827707968199109,0.7306326293082618
images/frame_000008.png,7.925478687695528,2.545856953834897,0.0,0.0,0.0,0.7060512900033745,0.7081606991951549
images/frame_000009.png,7.9255603825652425,2.542761183113521,0.0,0.0,0.0,0.7282255368499864,0.6853375573245271
images/frame_000010.png,7.925856725279081,2.539843675725158,0.0,0.0,0.0,0.7557289512238199,0.654884533549347
images/frame_000011.png,7.926251714264689,2.537738120887149,0.0,0.0,0.0,0.7838188367383928,0.62098955802338
images/frame_000012.png,7.9265238918266565,2.5367476248269014,0.0,0.0,0.0,0.8083385626794453,0.588717901957575
images/frame_000013.png,7.926736516374003,2.536166648005047,0.0,0.0,0.0,0.8355404706528612,0.5494289052290524
images/frame_000014.png,7.926825451893325,2.535975098194549,0.0,0.0,0.0,0.85868739187249,0.5124997200381882
images/frame_000015.png,7.941095045410265,2.5341904715336323,0.0,0.0,0.0,0.8808249121647808,0.4734421549776766
images/frame_000016.png,7.939592119577041,2.5362162601248937,0.0,0.0,0.0,0.9039617560704052,0.42761331078687126
images/frame_000017.png,7.937514048070874,2.5384900193382087,0.0,0.0,0.0,0.9248287601265374,0.3803837068577093
images/frame_000018.png,7.9549870730268735,2.551677706611324,0.0,0.0,0.0,0.9408216330950424,0.3389021314485603
images/frame_000019.png,7.951120046981094,2.5545786590556165,0.0,0.0,0.0,0.9550393873297791,0.2964789514430328
images/frame_000020.png,7.94497936108074,2.5583837533366376,0.0,0.0,0.0,0.967169481231462,0.2541322383611821
images/frame_000021.png,7.935631794039649,2.564539708684564,0.0,0.0,0.0,0.9779499665421383,0.20883932326128285
images/frame_000022.png,7.923515399582373,2.5693520097535814,0.0,0.0,0.0,0.9857113892465131,0.16844303817525122
images/frame_000023.png,7.906911449731005,2.5867015020378523,0.0,0.0,0.0,0.9917485552894151,0.12819829593780896
images/frame_000024.png,7.880997408529893,2.5922951115498227,0.0,0.0,0.0,0.9962454792769423,0.086573350519981
images/frame_000025.png,7.848338227033345,2.580861325965385,0.0,0.0,0.0,0.9981066461732766,0.06150709605186766
images/frame_000026.png,7.824322819227094,2.58324452641539,0.0,0.0,0.0,0.9992878584277595,0.037732956402356195
images/frame_000027.png,7.799005054194268,2.5899396300154414,0.0,0.0,0.0,0.9997793146154211,0.02100766686519168
images/frame_000028.png,7.7699338948859324,2.5904645545833964,0.0,0.0,0.0,0.9999966374212552,-0.0025932886809337807
images/frame_000029.png,7.739529070680186,2.5971432129475276,0.0,0.0,0.0,0.9998318374728787,-0.01833839621141864
images/frame_000030.png,7.706640898240252,2.599449230827732,0.0,0.0,0.0,0.9993730014091242,-0.03540627140096399
images/frame_000031.png,7.67323750146614,2.596445986626341,0.0,0.0,0.0,0.9985579929919172,-0.053683653302977356
images/frame_000032.png,7.6376377788492995,2.5973962316007895,0.0,0.0,0.0,0.9979608207669733,-0.0638294619600445
images/frame_000033.png,7.60442136967335,2.5927529915942027,0.0,0.0,0.0,0.9972276211511593,-0.07441150188781195
images/frame_000034.png,7.571293394715527,2.587513899359252,0.0,0.0,0.0,0.9966471090047109,-0.08182016935054644
images/frame_000035.png,7.532138681659266,2.591537029971702,0.0,0.0,0.0,0.9968258177771382,-0.07961337207366494
images/frame_000036.png,7.50315113224797,2.5867514776420544,0.0,0.0,0.0,0.9964941167472917,-0.08366286684088053
images/frame_000037.png,7.478551487134521,2.582525625959404,0.0,0.0,0.0,0.996284974456075,-0.08611765018309621
images/frame_000038.png,7.44526702769509,2.576644922869175,0.0,0.0,0.0,0.9960878907657209,-0.08836805910450463
images/frame_000039.png,7.418754200558564,2.5727019595059604,0.0,0.0,0.0,0.9961953341088686,-0.0871484727331447
images/frame_000040.png,7.385857625696845,2.5702524480874755,0.0,0.0,0.0,0.9965791591174367,-0.08264369070160658
images/frame_000041.png,7.360974975476363,2.5661413050153437,0.0,0.0,0.0,0.9967235275159014,-0.0808839273048617
images/frame_000042.png,7.327858542313425,2.5608281150627397,0.0,0.0,0.0,0.9969612136777529,-0.07789954057747679
images/frame_000043.png,7.2988214637535105,2.556352656464255,0.0,0.0,0.0,0.9972001447293023,-0.0747788161972263
images/frame_000044.png,7.265636650884598,2.5514850370449667,0.0,0.0,0.0,0.9974999938948983,-0.07066655630266655
images/frame_000045.png,7.236534357194955,2.547455598065726,0.0,0.0,0.0,0.997772473643014,-0.06670900119399935
images/frame_000046.png,7.207401653917675,2.5436521599210113,0.0,0.0,0.0,0.9980111682614821,-0.06303735420646855
images/frame_000047.png,7.174109843119011,2.539580434553698,0.0,0.0,0.0,0.9982870040146906,-0.0585069022883038
images/frame_000048.png,7.1449168915397365,2.53627123431046,0.0,0.0,0.0,0.9985264082969809,-0.05426796415502394
images/frame_000049.png,7.120095231621587,2.5336473633644925,0.0,0.0,0.0,0.9986948395409694,-0.051074626520783824
images/frame_000050.png,7.093097610659687,2.52960947537421,0.0,0.0,0.0,0.9986965357145701,-0.051041449349684805
images/frame_000051.png,7.059717924732068,2.526335090194724,0.0,0.0,0.0,0.9989052269567401,-0.0467797772387127
images/frame_000052.png,7.026312007642597,2.5233401117001657,0.0,0.0,0.0,0.9990875521967771,-0.042709051095197896
images/frame_000053.png,6.992888095669738,2.520552142723367,0.0,0.0,0.0,0.9991554612394922,-0.04108971009021084
images/frame_000054.png,6.959463194299969,2.517775953021567,0.0,0.0,0.0,0.9991186397406302,-0.04197551337188015
images/frame_000055.png,6.926045521535247,2.514914121212234,0.0,0.0,0.0,0.9990616840073003,-0.043309947454334814
images/frame_000056.png,6.892634754551629,2.5119727402679146,0.0,0.0,0.0,0.9990108453335462,-0.044467189094359205
images/frame_000057.png,6.8592291780002626,2.508972910553272,0.0,0.0,0.0,0.998990203716964,-0.04492853077431546
images/frame_000058.png,6.83674806657408,2.5152334548377016,0.0,0.0,0.0,0.9992293044012767,-0.03925299002293663
images/frame_000059.png,6.803052782555353,2.5125749257194023,0.0,0.0,0.0,0.9992133405291039,-0.03965728317307055
images/frame_000060.png,6.765478085604533,2.509504209765874,0.0,0.0,0.0,0.9991176734274864,-0.04199850765023539
images/frame_000061.png,6.736204426954911,2.5070067816243835,0.0,0.0,0.0,0.999087589247609,-0.04270818436085594
images/frame_000062.png,6.702785454174988,2.504160078519758,0.0,0.0,0.0,0.9991146141054086,-0.04207122390661439
images/frame_000063.png,6.669360336568147,2.5013865836956404,0.0,0.0,0.0,0.9991729744301973,-0.04066161787622708
images/frame_000064.png,6.635926838426633,2.498716071969168,0.0,0.0,0.0,0.999242028204445,-0.038927741648691665
images/frame_000065.png,6.606632687133457,2.496471836465266,0.0,0.0,0.0,0.9992926297989027,-0.03760638283048961
images/frame_000066.png,6.569035315768957,2.493692135763291,0.0,0.0,0.0,0.9993448204499448,-0.036192952903398704
images/frame_000067.png,6.5453522338916965,2.4964130149351003,0.0,0.0,0.0,0.9995201134235014,-0.03097648885640509
images/frame_000068.png,6.511876076247399,2.494344572316615,0.0,0.0,0.0,0.9995235966088053,-0.030863891883529955
images/frame_000069.png,6.478400999516417,2.492258727867004,0.0,0.0,0.0,0.999512614657423,-0.031217513364805542
